V1,V2
CGND-HRA-00510,42642582
CGND-HRA-00511,49882900
CGND-HRA-00512,35902392
CGND-HRA-00513,46638092
CGND-HRA-00514,31204303
CGND-HRA-00515,38005016
CGND-HRA-00517,37185177
CGND-HRA-00520,43693818
CGND-HRA-00521,41100828
CGND-HRA-00522,36879814
CGND-HRA-00523-v2-2-grch38,36215682
CGND-HRA-00525-v2-2-grch38,34895398
CGND-HRA-00526-v2-2-grch38,37256815
CGND-HRA-00527-v2-2-grch38,37910930
CGND-HRA-00528-v2-2-grch38,32706532
CGND-HRA-00529-v2-2-grch38,40238536
CGND-HRA-00530-v2-2-grch38,35867232
CGND-HRA-00531-v2-2-grch38,47352048
CGND-HRA-00532-v2-2-grch38,52252184
CGND-HRA-00533-v2-2-grch38,35977134
CGND-HRA-00534-v2-2-grch38,41376777
CGND-HRA-00535-v2-2-grch38,43227098
CGND-HRA-00536-v2-2-grch38,32367661
CGND-HRA-00537-v2-2-grch38,28570759
CGND-HRA-00538-v2-2-grch38,44130906
CGND-HRA-00539-v2-2-grch38,35096832
CGND-HRA-00540-v2-2-grch38,52443976
CGND-HRA-00542-v2-2-grch38,39107139
CGND-HRA-00543-v2-2-grch38,34968151
CGND-HRA-00544-v2-2-grch38,34266637
CGND-HRA-00545-v2-2-grch38,36141392
CGND-HRA-00546-v2-2-grch38,38069884
CGND-HRA-00547-v2-2-grch38,44525154
CGND-HRA-00548-v2-2-grch38,32349081
CGND-HRA-00549-v2-2-grch38,28808473
CGND-HRA-00550-v2-2-grch38,48168891
CGND-HRA-00551-v2-2-grch38,45281542
CGND-HRA-00552-v2-2-grch38,34643514
CGND-HRA-00553-v2-2-grch38,39144450
CGND-HRA-00554-v2-2-grch38,41083410
CGND-HRA-00555-v2-2-grch38,40260628
CGND-HRA-00556-v2-2-grch38,40593821
CGND-HRA-00557-v2-2-grch38,49425469
CGND-HRA-00558-v2-2-grch38,42014140
CGND-HRA-00559-v2-2-grch38,34098515
CGND-HRA-00560-v2-2-grch38,40499417
CGND-HRA-00561-v2-2-grch38,44620336
CGND-HRA-00562-v2-2-grch38,47338455
CGND-HRA-00563-v2-2-grch38,31109461
CGND-HRA-00564-v2-2-grch38,25184497
CGND-HRA-00565-v2-2-grch38,23705153
CGND-HRA-00566-v2-2-grch38,31924570
CGND-HRA-00567-v2-2-grch38,41038031
CGND-HRA-00568-v2-2-grch38,32667321
CGND-HRA-00569-v2-2-grch38,36186463
CGND-HRA-00570-v2-2-grch38,29173640
CGND-HRA-00571-v2-2-grch38,69133224
CGND-HRA-00572-v2-2-grch38,21297728
CGND-HRA-00573-v2-2-grch38,39955574
CGND-HRA-00574-v2-2-grch38,36330360
CGND-HRA-00575-v2-2-grch38,37120056
CGND-HRA-00576-v2-2-grch38,47086145
CGND-HRA-00577-v2-2-grch38,44322571
CGND-HRA-00578-v2-2-grch38,34399708
CGND-HRA-00579-v2-2-grch38,37932177
CGND-HRA-00580-v2-2-grch38,25323797
CGND-HRA-00581-v2-2-grch38,90601287
CGND-HRA-00582-v2-2-grch38,34548062
CGND-HRA-00583-v2-2-grch38,42610503
CGND-HRA-00584-v2-2-grch38,37869969
CGND-HRA-00585-v2-2-grch38,54233023
CGND-HRA-00586-v2-2-grch38,46247377
CGND-HRA-00587-v2-2-grch38,20334214
CGND-HRA-00588-v2-2-grch38,34364116
