gene_name,gene_id,nmd_call,total_rna,experiment_clean,max_exp2
BCL2L11,ENSG00000153094,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
SLC35B2,ENSG00000157593,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PTPRR,ENSG00000153233,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ASAP1,ENSG00000153317,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CMIP,ENSG00000153815,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KCTD15,ENSG00000153885,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CC2D1B,ENSG00000154222,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MITD1,ENSG00000158411,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PTPRN2,ENSG00000155093,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
CDK19,ENSG00000155111,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HLCS,ENSG00000159267,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ACE,ENSG00000159640,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CHCHD6,ENSG00000159685,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PDE9A,ENSG00000160191,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MTERF3,ENSG00000156469,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KAT6B,ENSG00000156650,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ADAR,ENSG00000160710,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PHKG2,ENSG00000156873,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EXOG,ENSG00000157036,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
LRP8,ENSG00000157193,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
PAQR6,ENSG00000160781,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NBEAL2,ENSG00000160796,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF333,ENSG00000160961,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
DGKI,ENSG00000157680,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
DGKI,ENSG00000157680,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FMNL2,ENSG00000157827,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
FANCC,ENSG00000158169,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FANCC,ENSG00000158169,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TMEM143,ENSG00000161558,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NIT1,ENSG00000158793,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ISL2,ENSG00000159556,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
CTBP1,ENSG00000159692,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
USP24,ENSG00000162402,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
OMA1,ENSG00000162600,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DNAJB4,ENSG00000162616,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ZDHHC1,ENSG00000159714,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FBXO41,ENSG00000163013,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PCNT,ENSG00000160299,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SGO2,ENSG00000163535,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TAOK1,ENSG00000160551,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TAOK1,ENSG00000160551,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CADPS,ENSG00000163618,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PPP1R16A,ENSG00000160972,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MRNIP,ENSG00000161010,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
IFT122,ENSG00000163913,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
SHANK1,ENSG00000161681,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
WDR90,ENSG00000161996,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PLXNB1,ENSG00000164050,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RPS6KA4,ENSG00000162302,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RNF123,ENSG00000164068,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ARFIP1,ENSG00000164144,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GRIK2,ENSG00000164418,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CNST,ENSG00000162852,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
STK17A,ENSG00000164543,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ADCY1,ENSG00000164742,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
ADCY1,ENSG00000164742,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
HELQ,ENSG00000163312,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MICALL2,ENSG00000164877,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
FOXK1,ENSG00000164916,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
CIP2A,ENSG00000163507,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PTPN13,ENSG00000163629,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PIGA,ENSG00000165195,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
DRGX,ENSG00000165606,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
TSC1,ENSG00000165699,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CEP44,ENSG00000164118,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF704,ENSG00000164684,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
DENND2B,ENSG00000166444,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KDM1B,ENSG00000165097,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PEX11A,ENSG00000166821,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NAV2,ENSG00000166833,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
MELK,ENSG00000165304,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ACSF2,ENSG00000167107,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
ACSF2,ENSG00000167107,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
FBXO22,ENSG00000167196,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PPP2R3B,ENSG00000167393,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KMT2D,ENSG00000167548,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KIFC2,ENSG00000167702,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
DCHS1,ENSG00000166341,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MGAT5B,ENSG00000167889,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
TUB,ENSG00000166402,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
XRRA1,ENSG00000166435,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AP1G1,ENSG00000166747,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ATG4B,ENSG00000168397,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
NAT16,ENSG00000167011,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SAMD14,ENSG00000167100,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ISLR2,ENSG00000167178,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF91,ENSG00000167232,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DUS2,ENSG00000167264,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CEP120,ENSG00000168944,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CA5B,ENSG00000169239,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SNUPN,ENSG00000169371,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TRAPPC9,ENSG00000167632,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DFFB,ENSG00000169598,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BUB1,ENSG00000169679,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ROBO1,ENSG00000169855,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
MYRIP,ENSG00000170011,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SETD5,ENSG00000168137,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
TRAPPC11,ENSG00000168538,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DNAJC24,ENSG00000170946,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF581,ENSG00000171425,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ARL13B,ENSG00000169379,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SCN9A,ENSG00000169432,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
PLEKHG5,ENSG00000171680,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ANO5,ENSG00000171714,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BCL2,ENSG00000171791,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
PWWP2B,ENSG00000171813,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BTD,ENSG00000169814,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TOR1AIP2,ENSG00000169905,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TRAPPC12,ENSG00000171853,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
PTEN,ENSG00000171862,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SHLD1,ENSG00000171984,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
MOB3A,ENSG00000172081,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DCLK2,ENSG00000170390,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
DMXL1,ENSG00000172869,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ALK,ENSG00000171094,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
ESRRA,ENSG00000173153,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RAPH1,ENSG00000173166,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
SLC19A1,ENSG00000173638,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KCNH6,ENSG00000173826,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TLN2,ENSG00000171914,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
SLC25A30,ENSG00000174032,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BANP,ENSG00000172530,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF621,ENSG00000172888,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NADSYN1,ENSG00000172890,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
HECTD4,ENSG00000173064,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MFSD4B,ENSG00000173214,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TP53I11,ENSG00000175274,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
CHRNA7,ENSG00000175344,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CCDC14,ENSG00000175455,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CEP83,ENSG00000173588,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RNF213,ENSG00000173821,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
HOXD8,ENSG00000175879,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
RTTN,ENSG00000176225,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
RTTN,ENSG00000176225,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZSCAN2,ENSG00000176371,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TBL1XR1,ENSG00000177565,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TBL1XR1,ENSG00000177565,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
LPCAT4,ENSG00000176454,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EPM2AIP1,ENSG00000178567,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZBTB7A,ENSG00000178951,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CTC1,ENSG00000178971,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
RNF152,ENSG00000176641,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BOK,ENSG00000176720,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SHMT1,ENSG00000176974,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZDHHC20,ENSG00000180776,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CLVS1,ENSG00000177182,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
PPFIA3,ENSG00000177380,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SLC25A22,ENSG00000177542,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
RELL1,ENSG00000181826,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
CHID1,ENSG00000177830,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
MPI,ENSG00000178802,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
YBEY,ENSG00000182362,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
NPLOC4,ENSG00000182446,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF664,ENSG00000179195,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ACBD3,ENSG00000182827,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
COL18A1,ENSG00000182871,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
COL18A1,ENSG00000182871,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
MROH1,ENSG00000179832,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF320,ENSG00000182986,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SSR4,ENSG00000180879,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EHMT1,ENSG00000181090,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
CEP57L1,ENSG00000183137,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CCDC125,ENSG00000183323,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KIAA2026,ENSG00000183354,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EP400,ENSG00000183495,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
EP400,ENSG00000183495,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
PI4KAP2,ENSG00000183506,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PCBP3,ENSG00000183570,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
PKD1P3,ENSG00000183458,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GUSBP1,ENSG00000183666,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
WDR27,ENSG00000184465,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PCBP3,ENSG00000183570,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
BMP8A,ENSG00000183682,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PRR16,ENSG00000184838,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 30%
KCNH8,ENSG00000183960,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SCFD2,ENSG00000184178,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF829,ENSG00000185869,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TMLHE,ENSG00000185973,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RASA3,ENSG00000185989,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF566,ENSG00000186017,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF284,ENSG00000186026,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF197,ENSG00000186448,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MYT1L,ENSG00000186487,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MIR22HG,ENSG00000186594,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
EMID1,ENSG00000186998,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SEMA4B,ENSG00000185033,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CDK10,ENSG00000185324,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AGRN,ENSG00000188157,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 30%
AGRN,ENSG00000188157,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 30%
LINC00265,ENSG00000188185,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF793,ENSG00000188227,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SDHAP1,ENSG00000185485,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
WDR53,ENSG00000185798,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BCAP31,ENSG00000185825,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GNB1L,ENSG00000185838,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
GNB1L,ENSG00000185838,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
LRCH3,ENSG00000186001,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF529,ENSG00000186020,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
ZNF529,ENSG00000186020,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
GREB1,ENSG00000196208,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
C2orf76,ENSG00000186132,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SPIN2B,ENSG00000186787,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TPCN1,ENSG00000186815,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
DAPK1,ENSG00000196730,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF700,ENSG00000196757,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TLE1,ENSG00000196781,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MVB12B,ENSG00000196814,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AGAP4,ENSG00000188234,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SVIL,ENSG00000197321,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SVIL,ENSG00000197321,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PHF2,ENSG00000197724,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
FAN1,ENSG00000198690,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
UNC13B,ENSG00000198722,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ZKSCAN7,ENSG00000196345,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ELAVL3,ENSG00000196361,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
TRRAP,ENSG00000196367,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SULF2,ENSG00000196562,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MRTFA,ENSG00000196588,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF814,ENSG00000204514,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
RANBP17,ENSG00000204764,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
ZNF512B,ENSG00000196700,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SNHG17,ENSG00000196756,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
KPNA5,ENSG00000196911,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
IGF2R,ENSG00000197081,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZGPAT,ENSG00000197114,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
"",ENSG00000273154,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
SRC,ENSG00000197122,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
C5orf51,ENSG00000205765,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF257,ENSG00000197134,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF675,ENSG00000197372,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ANKRD39,ENSG00000213337,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SIPA1,ENSG00000213445,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HTT,ENSG00000197386,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ATG7,ENSG00000197548,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ADAMTSL2,ENSG00000197859,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MYO1C,ENSG00000197879,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MCM3AP-AS1,ENSG00000215424,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
KIF13B,ENSG00000197892,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SPG7,ENSG00000197912,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GOLGA6L9,ENSG00000197978,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AP4M1,ENSG00000221838,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PPP2R2A,ENSG00000221914,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF667,ENSG00000198046,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SFI1,ENSG00000198089,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TSSC2,ENSG00000223756,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ASPH,ENSG00000198363,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF583,ENSG00000198440,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RD3,ENSG00000198570,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF536,ENSG00000198597,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PROX1-AS1,ENSG00000230461,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SMURF1,ENSG00000198742,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000233223,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TTN-AS1,ENSG00000237298,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SHISA4,ENSG00000198892,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KIAA0753,ENSG00000198920,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
PLEKHO2,ENSG00000241839,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000249240,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RBM20,ENSG00000203867,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ETV5,ENSG00000244405,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
LINC01184,ENSG00000245937,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
STARD4-AS1,ENSG00000246859,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EFCAB7,ENSG00000203965,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TAP2,ENSG00000204267,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000250264,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PDCD6,ENSG00000249915,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ASPDH,ENSG00000204653,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TMEM170B,ENSG00000205269,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF10,ENSG00000256223,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
POLG2,ENSG00000256525,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000256591,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
"",ENSG00000258674,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
