Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene,symbol
ENSG00000068903.21,2669.51415236758,0.0715721576314261,0.0646388737927899,1.10726182917205,0.26818074244244,0.370306940108453,ENSG00000068903,SIRT2
ENSG00000068912.15,3299.59735787473,0.311235443441432,0.0577407601945092,5.39022074515445,7.03711890113423e-08,4.4903180230498e-07,ENSG00000068912,ERLEC1
ENSG00000068971.14,3150.79883710655,0.326515725685419,0.0502481917349288,6.49805922186946,8.13627778931802e-11,7.6173020972423e-10,ENSG00000068971,PPP2R5B
ENSG00000068976.14,859.781764109731,0.791787191605414,0.134635799452721,5.88095584401727,4.07903983447885e-09,3.06696926872485e-08,ENSG00000068976,PYGM
ENSG00000069020.19,2407.82855536987,-0.146915064522944,0.106546428067212,-1.37888305772452,0.167930812636543,0.253652648469046,ENSG00000069020,MAST4
ENSG00000069188.17,3245.83595729437,-0.0403814301760486,0.126171701924156,-0.320051402653842,0.748929364523989,0.81657969193346,ENSG00000069188,SDK2
ENSG00000069248.12,5239.89183687586,-0.0453804450326491,0.057088812257749,-0.794909602038346,0.426666088355308,0.534833157148168,ENSG00000069248,NUP133
ENSG00000069275.13,43645.1615968548,-0.0156553169094927,0.0372816269050341,-0.419920432908436,0.674543580444712,0.755434415997521,ENSG00000069275,NUCKS1
ENSG00000069329.18,13818.189929847,-0.0448377271372116,0.0254815742930755,-1.75961369660728,0.0784733276364914,0.13441566304361,ENSG00000069329,VPS35
ENSG00000069345.12,8595.70170731752,0.0832780007813534,0.033084484471356,2.51713158333944,0.0118314633624731,0.026249427103322,ENSG00000069345,DNAJA2
ENSG00000069424.16,3228.48929195403,0.526639734400255,0.0515089946565888,10.2242285626301,1.54452782855988e-24,4.47910726057267e-23,ENSG00000069424,KCNAB2
ENSG00000069431.14,357.46006714933,-0.701548511308503,0.161531282663025,-4.34311236648832,1.40478236295596e-05,6.09660988192699e-05,ENSG00000069431,ABCC9
ENSG00000069493.15,286.451065490527,-0.466478028983462,0.155691382128637,-2.99617115992999,0.00273392931853728,0.00717399497871812,ENSG00000069493,CLEC2D
ENSG00000069509.6,1391.69251056991,-0.143665501893514,0.0686557614022116,-2.09254837408134,0.0363894892095917,0.0693353870836078,ENSG00000069509,FUNDC1
ENSG00000069667.16,3092.37736158359,0.917578330139919,0.0739660993738638,12.4053902788897,2.44319393037271e-35,1.25290973637562e-33,ENSG00000069667,RORA
ENSG00000069702.11,371.465942494147,-0.357519884601047,0.172110331180431,-2.07727149293695,0.0377765086069533,0.0715118357899293,ENSG00000069702,TGFBR3
ENSG00000069849.11,7716.60157347078,-0.118019892489045,0.0622076430213881,-1.89719280070566,0.0578024966789418,0.103599225146109,ENSG00000069849,ATP1B3
ENSG00000069869.17,906.170894261438,0.0779403256340892,0.0745352446747629,1.04568417228902,0.295706872758995,0.400480882757789,ENSG00000069869,NEDD4
ENSG00000069943.10,303.53847556241,-0.181840246634636,0.111004554130831,-1.63813321046555,0.101393908461295,0.166372347643687,ENSG00000069943,PIGB
ENSG00000069956.14,19363.9842331053,-0.134798779598825,0.034866422227434,-3.86614889017093,0.00011056745227451,0.00039815691326367,ENSG00000069956,MAPK6
ENSG00000069966.19,4923.63716146224,-0.00524669109734081,0.0388111213816599,-0.135185248726673,0.892465409838605,0.926918691345972,ENSG00000069966,GNB5
ENSG00000069998.12,1597.18996146691,0.155898178373259,0.0647193737544801,2.4088332338424,0.0160036088433288,0.0339816362189594,ENSG00000069998,HDHD5
ENSG00000070010.19,1935.88401703666,-0.0645397841359261,0.0659310460882027,-0.978898227241604,0.327630268208184,0.434764120169795,ENSG00000070010,UFD1
ENSG00000070018.9,5930.66338072271,-0.149244424762547,0.0784394791184772,-1.90266975813447,0.0570836504348474,0.102530233604492,ENSG00000070018,LRP6
ENSG00000070047.13,1733.56052942494,-0.0615171378113771,0.0459229862021059,-1.33957181139401,0.180384593314281,0.269035141310616,ENSG00000070047,PHRF1
ENSG00000070061.16,8338.23052162606,0.278662543067078,0.0298828057142089,9.32518002934971,1.10795338866956e-20,2.45942162106792e-19,ENSG00000070061,ELP1
ENSG00000070081.18,2692.5723532243,-0.165843960404488,0.0418685879618872,-3.96105931624574,7.46179920561967e-05,0.000278355241150254,ENSG00000070081,NUCB2
ENSG00000070087.15,26796.4922436574,0.131344888903273,0.0314294955376454,4.17903267794902,2.92751623116486e-05,0.000118802693567039,ENSG00000070087,PFN2
ENSG00000070159.14,2178.54716268126,0.150774854527558,0.0965711570652966,1.56128246890127,0.118457118122555,0.189978967588943,ENSG00000070159,PTPN3
ENSG00000070182.21,769.062433219041,-0.24762402580816,0.075274159260613,-3.28962858224481,0.00100319708589593,0.00292507964427858,ENSG00000070182,SPTB
