sample_id,library_size
CGND-HRA-00874,62877098
CGND-HRA-00875,71968632
CGND-HRA-00925,80697808
CGND-HRA-00926,92148560
CGND-HRA-00927,73382162
CGND-HRA-00928,90842014
CGND-HRA-00929,126813482
CGND-HRA-00414,80510778
CGND-HRA-00653,110830544
CGND-HRA-00654,90946028
CGND-HRA-00655,93214032
CGND-HRA-00656,89178788
CGND-HRA-00657,100917256
CGND-HRA-00152,111929580
CGND-HRA-00175,97155760
CGND-HRA-00195,103939318
CGND-HRA-00198,93158988
CGND-HRA-00270,112918762
CGND-HRA-00277,81104542
CGND-HRA-00282,135518820
CGND-HRA-00377,78331694
CGND-HRA-00378,87831208
CGND-HRA-00379,93153514
CGND-HRA-00413,96272748
CGND-HRA-00415,102357954
CGND-HRA-00416,94962648
CGND-HRA-00417,128824444
CGND-HRA-00418,131653436
CGND-HRA-00419,120953712
CGND-HRA-00420,118313754
CGND-HRA-00421,81524558
CGND-HRA-00422,71172058
CGND-HRA-00423,65278350
CGND-HRA-00424,73604244
CGND-HRA-00425,67479922
CGND-HRA-00426,70555802
CGND-HRA-00427,73815264
CGND-HRA-00428,61824918
CGND-HRA-00429,87957714
CGND-HRA-00430,79047808
CGND-HRA-00431,48739974
CGND-HRA-00432,73654742
CGND-HRA-00433,128092676
CGND-HRA-00434,123983458
CGND-HRA-00435,69831638
CGND-HRA-00436,66795104
CGND-HRA-00437,88973386
CGND-HRA-00438,174593222
CGND-HRA-00439,91742400
CGND-HRA-00242,102936504
CGND-HRA-00250,100953876
CGND-HRA-00251,87876260
CGND-HRA-00252,96756178
CGND-HRA-00254,104484436
CGND-HRA-00260,95840418
CGND-HRA-00261,94294358
CGND-HRA-00262,114052824
CGND-HRA-00264,107552202
CGND-HRA-00272,112436600
CGND-HRA-00275,89951896
CGND-HRA-00276,112947038
CGND-HRA-00284,93177900
CGND-HRA-00285,106996552
CGND-HRA-00288,96757256
CGND-HRA-00337,74350476
CGND-HRA-00364,105639900
CGND-HRA-00612,129811100
CGND-HRA-00241,66701896
CGND-HRA-00245,106452434
CGND-HRA-00246,99999366
CGND-HRA-00247,76941822
CGND-HRA-00248,72316812
CGND-HRA-00255,104842534
CGND-HRA-00256,127904250
CGND-HRA-00258,53255656
CGND-HRA-00259,77748718
CGND-HRA-00263,65100766
CGND-HRA-00265,84319536
CGND-HRA-00266,72485854
CGND-HRA-00267,75565644
CGND-HRA-00268,71299410
CGND-HRA-00269,116480166
CGND-HRA-00279,106439190
CGND-HRA-00280,94275536
CGND-HRA-00281,105239738
CGND-HRA-00283,52260574
CGND-HRA-00286,79372658
CGND-HRA-00287,89969580
CGND-HRA-00523,78835830
CGND-HRA-00525,81354696
CGND-HRA-00526,88928826
CGND-HRA-00527,91926800
CGND-HRA-00528,80061814
CGND-HRA-00529,90096874
CGND-HRA-00530,82117858
CGND-HRA-00553,86745162
CGND-HRA-00554,91129022
CGND-HRA-00559,79403156
CGND-HRA-00560,90071688
CGND-HRA-00563,71669008
CGND-HRA-00564,61236892
CGND-HRA-00565,77296642
CGND-HRA-00566,69448476
CGND-HRA-00567,91962372
CGND-HRA-00568,75166044
CGND-HRA-00569,82126616
CGND-HRA-00570,69548806
CGND-HRA-00531,105518590
CGND-HRA-00532,115656262
CGND-HRA-00533,80442882
CGND-HRA-00534,91159020
CGND-HRA-00535,97898864
CGND-HRA-00536,72892490
CGND-HRA-00538,98615584
CGND-HRA-00540,122851770
CGND-HRA-00542,85930256
CGND-HRA-00543,78394888
CGND-HRA-00544,77347004
CGND-HRA-00545,82727960
CGND-HRA-00546,84854914
CGND-HRA-00547,97920470
CGND-HRA-00549,65671554
CGND-HRA-00550,114072996
CGND-HRA-00551,110153420
CGND-HRA-00555,91171174
CGND-HRA-00556,91380332
