barcode,platform,replicate,bc,leiden_labels_res20,cluster,n_genes,n_counts,percent_mito,umap_1,umap_2,donor_barcode,cluster_label,cell_type,junctions
Parse-1-05_07_77__sParse,Parse,1,05_07_77__sParse,5,Mural-3,1265,2118,2.17186024551464,1.3175249,5.806212,05_07_77__sParse-1,Mural 3,Mural,207
Parse-1-05_07_83__sParse,Parse,1,05_07_83__sParse,6,GABAergic VIP interneuron,1780,3888,0.668724279835391,-2.3973713,18.745554,05_07_83__sParse-1,VIP 1,GABAergic,708
Parse-1-05_08_14__sParse,Parse,1,05_08_14__sParse,11,GABAergic PVALB interneuron,3463,7923,0.138836299381547,-8.9585,6.388273,05_08_14__sParse-1,PVALB 1,GABAergic,1746
Parse-1-05_08_18__sParse,Parse,1,05_08_18__sParse,3,Glutamatergic neuron,2047,4030,0.347394540942928,10.068498,5.704789,05_08_18__sParse-1,Glu 1,Glutamatergic,549
Parse-1-05_08_22__sParse,Parse,1,05_08_22__sParse,11,GABAergic PVALB interneuron,901,1749,6.63236134934248,-7.907453,6.6455173,05_08_22__sParse-1,PVALB 1,GABAergic,301
Parse-1-05_09_03__sParse,Parse,1,05_09_03__sParse,2,Mural-2,7322,30724,0.182267933862778,-0.4577316,3.5268152,05_09_03__sParse-1,Mural 2,Mural,5613
Parse-1-05_09_16__sParse,Parse,1,05_09_16__sParse,7,Glutamatergic neuron-3,4636,11453,0.0960447044442504,0.42979175,-3.6840158,05_09_16__sParse-1,Glu 3,Glutamatergic,2238
Parse-1-05_09_23__sParse,Parse,1,05_09_23__sParse,5,Mural-3,3625,7986,0.864012021036814,3.3604448,5.7993474,05_09_23__sParse-1,Mural 3,Mural,1438
Parse-1-05_09_51__sParse,Parse,1,05_09_51__sParse,13,Mural-4,1063,1733,0.692440854010387,18.161968,3.3131173,05_09_51__sParse-1,Mural 4,Mural,360
Parse-1-05_09_56__sParse,Parse,1,05_09_56__sParse,2,Mural-2,3709,8156,0.0980872976949485,0.9278964,5.060837,05_09_56__sParse-1,Mural 2,Mural,1846
Parse-1-05_09_60__sParse,Parse,1,05_09_60__sParse,17,Glutamatergic neuron-6,3797,8409,0.570816981805209,-3.9516988,11.184989,05_09_60__sParse-1,Glu 6,Glutamatergic,2264
Parse-1-05_09_77__sParse,Parse,1,05_09_77__sParse,5,Mural-3,4188,9876,0.678412312677197,2.4827697,5.381323,05_09_77__sParse-1,Mural 3,Mural,1987
Parse-1-05_10_52__sParse,Parse,1,05_10_52__sParse,1,Mural,3463,7298,0.301452452726775,5.7058754,8.92346,05_10_52__sParse-1,Mural 1,Mural,1602
Parse-1-05_10_65__sParse,Parse,1,05_10_65__sParse,4,Glutamatergic neuron-2,4279,10824,0.314116777531412,10.252034,8.985781,05_10_65__sParse-1,Glu 2,Glutamatergic,2289
Parse-1-05_10_79__sParse,Parse,1,05_10_79__sParse,16,GABAergic SST interneuron,1859,3095,0.0323101777059774,-7.7525954,9.55086,05_10_79__sParse-1,SST 1,GABAergic,866
Parse-1-05_11_41__sParse,Parse,1,05_11_41__sParse,2,Mural-2,4882,13937,0.401808136614766,-0.6899552,4.965293,05_11_41__sParse-1,Mural 2,Mural,2666
Parse-1-05_11_42__sParse,Parse,1,05_11_42__sParse,9,Glutamatergic neuron-4,3677,8728,1.67277726856095,8.329409,11.841923,05_11_42__sParse-1,Glu 4,Glutamatergic,1484
Parse-1-05_11_45__sParse,Parse,1,05_11_45__sParse,2,Mural-2,3915,9103,0.845874986268263,-0.0020652956,4.8044186,05_11_45__sParse-1,Mural 2,Mural,1621
Parse-1-05_11_46__sParse,Parse,1,05_11_46__sParse,1,Mural,4590,11106,0.153070412389699,4.8118644,10.024147,05_11_46__sParse-1,Mural 1,Mural,2484
Parse-1-05_11_64__sParse,Parse,1,05_11_64__sParse,4,Glutamatergic neuron-2,6556,24309,0.234481056398865,10.225976,10.30379,05_11_64__sParse-1,Glu 2,Glutamatergic,4464
Parse-1-05_11_71__sParse,Parse,1,05_11_71__sParse,1,Mural,4489,10979,0.455414882958375,5.519922,8.829873,05_11_71__sParse-1,Mural 1,Mural,2213
Parse-1-05_12_15__sParse,Parse,1,05_12_15__sParse,7,Glutamatergic neuron-3,2613,5396,0.259451445515196,-1.9505367,-2.4753184,05_12_15__sParse-1,Glu 3,Glutamatergic,1045
Parse-1-05_12_30__sParse,Parse,1,05_12_30__sParse,14,14,4425,10949,0.319663896246233,0.9838871,-8.152252,05_12_30__sParse-1,14,14,2361
Parse-1-05_12_33__sParse,Parse,1,05_12_33__sParse,1,Mural,4147,9359,1.47451650817395,4.9243093,10.370502,05_12_33__sParse-1,Mural 1,Mural,1794
Parse-1-05_12_37__sParse,Parse,1,05_12_37__sParse,14,14,2819,6355,0.708103855232101,0.90877515,-8.060562,05_12_37__sParse-1,14,14,945
